pdf_path,questions_file,output_file,llm_model,embedding_model,chunk_size,chunk_overlap,bm25_k,vector_k,ensemble_weights,reranker_model,reranker_top_n,timestamp,avg_bleu,reference_accuracy,num_questions_evaluated,avg_rouge1_recall,avg_rouge2_recall,run_id
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,7,7,"[0.6, 0.4]",bge-reranker-base,4,20250605_162036,0.4812,0.716,81,0.8481,0.7082,20250605_162036
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,m3e-base,300,100,7,7,"[0.6, 0.4]",bge-reranker-v2-m3,4,20250605_164301,0.4548,0.7037,81,0.8713,0.7319,20250605_164301
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-base,3,20250605_184517,0.4631,0.7654,81,0.8201,0.6837,20250605_184517
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-base,3,20250605_185258,0.4725,0.7778,81,0.8318,0.7006,20250605_185258
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-base,3,20250605_190031,0.4502,0.7654,81,0.8184,0.6769,20250605_190031
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-base,3,20250605_190810,0.4754,0.7778,81,0.831,0.6995,20250605_190810
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-base,3,20250605_191547,0.4654,0.7654,81,0.822,0.6891,20250605_191547
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-base,3,20250605_192324,0.4827,0.7778,81,0.829,0.6979,20250605_192324
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-base,3,20250605_193101,0.4629,0.7654,81,0.8236,0.6912,20250605_193101
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-base,3,20250605_193838,0.4708,0.7778,81,0.8244,0.6911,20250605_193838
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-base,3,20250605_194619,0.4562,0.716,81,0.8178,0.6743,20250605_194619
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-base,3,20250605_195357,0.4718,0.7284,81,0.8276,0.6913,20250605_195357
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-base,3,20250605_200137,0.442,0.7778,81,0.8177,0.6746,20250605_200137
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-base,3,20250605_200918,0.4371,0.7778,81,0.8159,0.6818,20250605_200918
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-base,3,20250605_201703,0.4374,0.716,81,0.8236,0.6863,20250605_201703
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-base,3,20250605_202444,0.4322,0.7284,81,0.8212,0.6903,20250605_202444
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-base,3,20250605_203231,0.4555,0.7778,81,0.8218,0.6948,20250605_203231
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-base,3,20250605_204018,0.4447,0.7778,81,0.8186,0.6796,20250605_204018
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-base,3,20250605_204802,0.4666,0.7531,81,0.834,0.7028,20250605_204802
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-base,3,20250605_205547,0.4601,0.7654,81,0.8334,0.705,20250605_205547
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-base,3,20250605_210334,0.4435,0.7531,81,0.8251,0.6817,20250605_210334
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-base,3,20250605_211128,0.4364,0.7654,81,0.8283,0.6934,20250605_211128
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-base,3,20250605_211925,0.4654,0.7531,81,0.8441,0.7123,20250605_211925
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-base,3,20250605_212715,0.4617,0.7654,81,0.8391,0.6972,20250605_212715
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-base,3,20250605_213501,0.4387,0.7531,81,0.8205,0.6745,20250605_213501
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-base,3,20250605_214257,0.449,0.7654,81,0.8226,0.6897,20250605_214257
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-base,3,20250605_215046,0.4725,0.7284,81,0.8328,0.6976,20250605_215046
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-base,3,20250605_215838,0.4501,0.7407,81,0.8274,0.6848,20250605_215838
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-base,3,20250605_220632,0.4507,0.7284,81,0.8273,0.6818,20250605_220632
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-base,3,20250605_221433,0.466,0.7284,81,0.8312,0.6963,20250605_221433
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-base,3,20250605_222230,0.4431,0.7284,81,0.8344,0.7027,20250605_222230
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-base,3,20250605_223029,0.4442,0.7407,81,0.8339,0.6944,20250605_223029
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-base,3,20250605_223827,0.4857,0.7284,81,0.8343,0.6952,20250605_223827
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-base,3,20250605_224620,0.4616,0.7284,81,0.8351,0.6969,20250605_224620
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-large,3,20250605_225419,0.4778,0.7531,81,0.84,0.701,20250605_225419
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-large,3,20250605_230209,0.4986,0.7531,81,0.8476,0.7183,20250605_230209
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-large,3,20250605_230957,0.4811,0.7531,81,0.8475,0.7095,20250605_230957
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-large,3,20250605_231747,0.506,0.7531,81,0.8532,0.7141,20250605_231747
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-large,3,20250605_232538,0.488,0.7531,81,0.8448,0.7106,20250605_232538
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-large,3,20250605_233325,0.4957,0.7531,81,0.8561,0.7222,20250605_233325
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-large,3,20250605_234117,0.5017,0.7531,81,0.8564,0.7212,20250605_234117
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-large,3,20250605_234904,0.5028,0.7531,81,0.869,0.7318,20250605_234904
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-large,3,20250605_235701,0.4814,0.7284,81,0.8544,0.7225,20250605_235701
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-large,3,20250606_000453,0.4923,0.7284,81,0.8421,0.7098,20250606_000453
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-large,3,20250606_001251,0.4779,0.7407,81,0.847,0.7074,20250606_001251
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-large,3,20250606_002040,0.5012,0.7407,81,0.8604,0.7402,20250606_002040
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-large,3,20250606_002633,0.4717,0.7284,81,0.8423,0.7132,20250606_002633
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-large,3,20250606_002952,0.4711,0.7284,81,0.8606,0.7321,20250606_002952
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-large,3,20250606_003330,0.4717,0.7407,81,0.8448,0.7119,20250606_003330
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-large,3,20250606_004124,0.4855,0.7407,81,0.8622,0.7292,20250606_004124
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-large,3,20250606_004925,0.4941,0.7654,81,0.856,0.7239,20250606_004925
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-large,3,20250606_005717,0.4835,0.7654,81,0.8578,0.7224,20250606_005717
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-large,3,20250606_010519,0.476,0.7654,81,0.8572,0.7201,20250606_010519
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-large,3,20250606_011325,0.4789,0.7654,81,0.854,0.7209,20250606_011325
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-large,3,20250606_012140,0.4797,0.7654,81,0.8538,0.7166,20250606_012140
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-large,3,20250606_012944,0.4877,0.7654,81,0.8591,0.7181,20250606_012944
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-large,3,20250606_013749,0.4857,0.7654,81,0.8522,0.7152,20250606_013749
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-large,3,20250606_014552,0.4731,0.7654,81,0.858,0.7211,20250606_014552
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-large,3,20250606_015406,0.4725,0.7407,81,0.8486,0.717,20250606_015406
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-large,3,20250606_020002,0.478,0.7284,81,0.8562,0.7257,20250606_020002
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-large,3,20250606_020339,0.4911,0.7407,81,0.8487,0.7143,20250606_020339
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-large,3,20250606_020710,0.5063,0.7407,81,0.8417,0.7094,20250606_020710
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-large,3,20250606_021507,0.4962,0.7407,81,0.8449,0.7154,20250606_021507
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-large,3,20250606_022300,0.4867,0.7284,81,0.8576,0.7224,20250606_022300
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-large,3,20250606_023058,0.4775,0.7407,81,0.852,0.7205,20250606_023058
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-large,3,20250606_023904,0.492,0.7407,81,0.8533,0.7221,20250606_023904
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_024708,0.4894,0.7407,81,0.8445,0.7081,20250606_024708
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_025452,0.5056,0.7407,81,0.8558,0.7311,20250606_025452
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_030241,0.5027,0.7407,81,0.8543,0.717,20250606_030241
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_031022,0.4974,0.7407,81,0.8475,0.7181,20250606_031022
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-v2-m3,3,20250606_031809,0.4783,0.7407,81,0.8369,0.7075,20250606_031809
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-v2-m3,3,20250606_032552,0.4926,0.7407,81,0.8623,0.7409,20250606_032552
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-v2-m3,3,20250606_033342,0.4758,0.7407,81,0.8518,0.7148,20250606_033342
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-v2-m3,3,20250606_034125,0.5016,0.7407,81,0.8592,0.7237,20250606_034125
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_034918,0.4753,0.7037,81,0.8436,0.6991,20250606_034918
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_035701,0.467,0.7037,81,0.8489,0.7102,20250606_035701
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_040453,0.4716,0.716,81,0.8425,0.7027,20250606_040453
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_041244,0.4634,0.716,81,0.8499,0.7128,20250606_041244
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-v2-m3,3,20250606_042036,0.4602,0.7037,81,0.8401,0.6988,20250606_042036
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-v2-m3,3,20250606_042822,0.4701,0.7037,81,0.8416,0.7034,20250606_042822
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-v2-m3,3,20250606_043615,0.457,0.716,81,0.8383,0.6921,20250606_043615
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-v2-m3,3,20250606_044401,0.4814,0.716,81,0.8469,0.7115,20250606_044401
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_045152,0.4701,0.7654,81,0.8617,0.7337,20250606_045152
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_045950,0.4641,0.7654,81,0.8528,0.7234,20250606_045950
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_050753,0.4863,0.7654,81,0.8572,0.7259,20250606_050753
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-v2-m3,3,20250606_051600,0.4883,0.7654,81,0.846,0.7121,20250606_051600
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-v2-m3,3,20250606_052410,0.4929,0.7654,81,0.8616,0.7341,20250606_052410
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-v2-m3,3,20250606_053204,0.4969,0.7654,81,0.8484,0.7202,20250606_053204
